Date,Open,High,Low,Close,Adj Close,Volume
2009-05-04,130.000000,137.199997,130.000000,136.619995,46.901642,8094740
2009-05-05,136.600006,138.699997,133.500000,134.365005,46.127506,8298370
2009-05-06,134.500000,137.595001,131.000000,132.369995,45.442619,9242210
2009-05-07,133.500000,137.500000,133.035004,136.695007,46.927395,5681380
2009-05-08,136.600006,137.500000,130.600006,132.514999,45.492397,6516970
2009-05-11,138.899994,138.899994,125.110001,126.070000,43.279839,13973310
2009-05-12,126.070000,130.059998,124.000000,129.544998,44.472797,9176970
2009-05-13,130.000000,130.899994,125.500000,126.214996,43.329605,10700810
2009-05-14,125.900002,127.559998,122.500000,126.785004,43.525291,9496880
2009-05-15,128.000000,132.250000,127.500000,131.225006,45.049549,9437340
2009-05-18,149.000000,161.500000,140.899994,157.794998,54.171013,250590
2009-05-19,167.500000,184.199997,155.500000,175.445007,60.230278,27208290
2009-05-20,175.304993,182.100006,172.199997,178.020004,61.114269,8889500
2009-05-21,177.899994,178.500000,170.210007,171.429993,58.851917,7702100
2009-05-22,170.500000,174.089996,167.809998,173.169998,59.449257,7929090
2009-05-25,174.399994,174.500000,169.710007,171.985001,59.042454,4797860
2009-05-26,172.440002,175.899994,166.699997,168.794998,57.947327,6820070
2009-05-27,172.500000,179.600006,171.000000,179.054993,61.469582,6869330
2009-05-28,179.000000,183.500000,176.039993,182.889999,62.786137,8237260
2009-05-29,185.000000,189.100006,183.000000,186.910004,64.166206,7799800
2009-06-01,187.500000,190.699997,183.300003,187.979996,64.533531,6027820
2009-06-02,189.000000,193.399994,182.029999,190.949997,65.553131,10833650
2009-06-03,193.500000,193.500000,185.619995,187.320007,64.306969,5826070
2009-06-04,186.000000,189.399994,184.134995,187.589996,64.399643,4158280
2009-06-05,189.899994,192.089996,181.000000,181.789993,62.408504,6749280
2009-06-08,183.500000,183.500000,168.300003,169.509995,58.192783,7950890
2009-06-09,172.500000,177.389999,167.509995,176.330002,60.534092,5974930
2009-06-10,175.600006,179.899994,174.014999,175.675003,72.180321,6737440
2009-06-11,176.000000,176.899994,168.110001,169.625000,69.694527,6178150
2009-06-12,171.000000,172.000000,162.500000,163.699997,67.260109,7437530
2009-06-15,162.389999,167.369995,161.199997,164.199997,67.465523,5440000
2009-06-16,163.399994,172.199997,162.000000,171.410004,70.427948,7363470
2009-06-17,172.500000,172.500000,165.449997,166.339996,68.344803,6406330
2009-06-18,167.199997,172.899994,166.000000,170.220001,69.939003,8432530
2009-06-19,172.500000,174.490005,168.000000,172.434998,70.849091,6249820
2009-06-22,173.500000,175.949997,168.610001,169.475006,69.632896,6293080
2009-06-23,169.470001,172.399994,166.300003,170.835007,70.191689,5926130
