Date,Open,High,Low,Close,Adj Close,Volume
2009-05-04,127.224998,142.462494,124.000000,137.449997,104.768829,1800384
2009-05-05,137.250000,137.250000,127.750000,133.387497,101.672264,626584
2009-05-06,134.000000,134.500000,129.024994,132.850006,101.262589,1177800
2009-05-07,133.787506,134.975006,127.574997,129.087494,98.394661,890452
2009-05-08,128.000000,131.225006,121.687500,123.562500,94.183334,680736
2009-05-11,124.000000,128.250000,122.775002,125.500000,95.660149,848600
2009-05-12,125.000000,131.250000,123.637497,130.687500,99.614227,674608
2009-05-13,131.250000,132.449997,126.250000,127.550003,97.222740,407704
2009-05-14,125.625000,130.750000,125.000000,127.312500,97.041702,699908
2009-05-15,129.500000,130.725006,126.562500,128.475006,97.927803,622628
2009-05-18,158.987503,158.987503,158.987503,158.987503,121.185410,23080
2009-05-19,150.000000,167.000000,140.250000,156.837494,119.546616,1222208
2009-05-20,156.250000,171.225006,150.750000,169.662506,129.322235,802664
2009-05-21,165.000000,168.750000,159.250000,163.300003,124.472542,537144
2009-05-22,163.250000,163.250000,155.062500,157.462494,120.023010,449288
2009-05-25,158.500000,163.500000,156.000000,158.449997,120.775726,456220
2009-05-26,158.250000,161.812500,150.000000,152.637497,116.345238,341780
2009-05-27,155.000000,158.725006,153.562500,156.324997,119.155975,303480
2009-05-28,157.500000,166.000000,156.287506,159.699997,121.728508,1063960
2009-05-29,163.750000,175.000000,161.500000,168.750000,128.626694,1241548
2009-06-01,168.750000,179.000000,167.262497,177.612503,135.382004,809564
2009-06-02,184.949997,187.250000,177.975006,181.350006,138.230850,844396
2009-06-03,180.500000,183.875000,171.250000,174.375000,132.914276,742304
2009-06-04,174.750000,178.475006,170.500000,172.437500,131.437454,531592
2009-06-05,176.250000,181.250000,172.574997,177.725006,135.467743,999572
2009-06-08,182.475006,185.949997,172.550003,174.562500,133.057190,379500
2009-06-09,172.500000,187.250000,168.074997,185.625000,141.489395,1851176
2009-06-10,186.250000,193.750000,185.625000,191.962494,146.320023,1075920
2009-06-11,187.250000,205.500000,187.250000,203.824997,155.361984,1926572
2009-06-12,204.500000,206.000000,194.250000,195.824997,149.264130,1043720
2009-06-15,190.000000,193.750000,186.250000,189.000000,144.061920,255244
2009-06-16,185.000000,195.449997,184.500000,193.625000,147.587234,443988
2009-06-17,195.000000,195.500000,185.762497,187.287506,142.756592,678208
2009-06-18,188.750000,190.000000,183.500000,185.350006,141.279785,240556
2009-06-19,186.250000,192.500000,180.287506,184.324997,140.498474,476540
2009-06-22,185.000000,187.375000,174.250000,177.324997,135.162842,455272
2009-06-23,173.050003,178.475006,170.375000,175.975006,134.133850,601400
2009-06-24,178.750000,183.612503,170.662506,180.975006,137.944992,892332
2009-06-25,182.562500,183.600006,173.750000,175.662506,133.895660,469004
2009-06-26,178.000000,178.000000,171.274994,174.375000,132.914276,1155128
2009-06-29,177.250000,178.000000,173.787506,176.012497,134.162415,704800
2009-06-30,178.750000,178.750000,171.250000,173.125000,131.961487,860748
2009-07-01,173.837494,180.250000,171.824997,178.587494,136.125137,1026452
2009-07-02,181.087494,181.087494,174.500000,178.112503,135.763092,1120552
2009-07-03,176.750000,186.750000,175.750000,184.362503,140.527054,1315772
2009-07-06,186.000000,186.750000,174.562500,177.600006,135.372467,489908
2009-07-07,181.199997,189.250000,180.000000,187.612503,143.004333,2191060
2009-07-08,185.750000,188.750000,178.137497,184.237503,140.431778,943600
2009-07-09,184.225006,185.000000,175.800003,180.512497,145.489304,610204
2009-07-10,180.750000,180.750000,171.250000,173.500000,139.837387,609240
2009-07-13,173.500000,173.500000,160.824997,169.100006,136.291061,397392
2009-07-14,171.750000,177.912506,169.000000,176.162506,141.983307,531312
2009-07-15,177.912506,180.750000,175.000000,179.537506,144.703491,707692
2009-07-16,179.537506,185.250000,176.750000,180.125000,145.176971,1111076
2009-07-17,181.500000,198.000000,181.500000,194.662506,156.893921,1186108
2009-07-20,197.512497,201.824997,195.287506,199.212494,160.561127,894200
2009-07-21,191.562500,200.000000,191.500000,194.062500,156.410309,767668
2009-07-22,194.500000,201.250000,189.500000,191.287506,154.173737,816404
2009-07-23,192.500000,202.000000,192.000000,200.462494,161.568558,1991332
2009-07-24,202.500000,208.762497,201.250000,207.712494,167.411926,1341292
2009-07-27,208.750000,209.750000,201.750000,204.037506,164.449966,408820
2009-07-28,205.000000,209.625000,203.024994,205.699997,165.789902,679764
2009-07-29,205.487503,213.425003,201.712494,210.449997,169.618286,1228820
2009-07-30,211.274994,214.875000,208.074997,213.012497,171.683624,2334332
2009-07-31,216.250000,223.000000,209.550003,214.199997,172.640717,1340608
2009-08-03,215.312500,232.425003,214.750000,228.937500,184.518829,1530096
2009-08-04,230.500000,235.675003,225.562500,231.550003,186.624451,1524224
2009-08-05,228.750000,234.000000,226.975006,230.000000,185.375214,508964
2009-08-06,227.500000,231.500000,216.250000,220.475006,177.698257,1116292
2009-08-07,219.500000,219.500000,204.250000,208.537506,168.076859,1576836
2009-08-10,212.750000,214.500000,187.250000,189.524994,152.753189,3688636
2009-08-11,192.500000,201.500000,190.024994,196.250000,158.173401,1896552
2009-08-12,196.250000,197.750000,186.350006,194.637497,156.873749,1497216
2009-08-13,197.262497,202.750000,193.112503,198.725006,160.168213,2179532
2009-08-14,200.250000,203.125000,193.024994,197.175003,158.918930,1363332
2009-08-17,187.500000,194.949997,185.537506,186.699997,150.476318,1251132
2009-08-18,186.500000,193.125000,186.024994,192.087494,154.818512,603904
2009-08-19,192.500000,195.250000,183.800003,185.212494,149.277405,775836
2009-08-20,188.000000,194.975006,187.500000,193.512497,155.967041,710088
2009-08-21,191.550003,201.175003,191.250000,200.437500,161.548431,2177552
2009-08-24,204.750000,204.750000,200.750000,202.762497,163.422363,642776
2009-08-25,200.000000,205.962494,200.000000,202.362503,163.099960,661616
2009-08-26,202.812500,206.250000,201.537506,203.350006,163.895859,716308
2009-08-27,203.750000,206.250000,200.812500,205.787506,165.860443,438904
2009-08-28,206.375000,207.750000,202.199997,206.449997,166.394379,481876
2009-08-31,202.500000,216.949997,202.500000,215.012497,173.295563,707996
2009-09-01,215.000000,226.250000,206.237503,211.824997,170.726547,1802396
2009-09-02,209.750000,218.000000,206.250000,207.387497,167.149994,1040516
2009-09-03,208.000000,209.750000,202.250000,203.350006,163.895859,549812
2009-09-04,205.000000,218.500000,204.250000,215.975006,174.071350,1737564
2009-09-07,218.750000,218.750000,212.750000,214.837494,173.154526,1919680
2009-09-08,216.500000,218.750000,209.000000,209.699997,169.013809,942124
2009-09-09,210.000000,213.475006,207.500000,209.087494,168.520157,868968
2009-09-10,210.250000,213.024994,203.750000,205.387497,165.538025,1050976
2009-09-11,207.500000,211.000000,203.262497,204.949997,165.185394,957860
2009-09-14,205.500000,209.225006,203.037506,207.899994,167.563049,849164
2009-09-15,211.250000,211.949997,208.000000,210.649994,169.779495,568596
2009-09-16,212.750000,216.250000,212.324997,214.774994,173.104156,1164220
2009-09-17,215.000000,219.500000,212.500000,217.449997,175.260147,960520
2009-09-18,218.500000,224.362503,214.500000,221.250000,178.322861,1276716
2009-09-22,222.000000,227.449997,219.800003,222.062500,178.977753,889420
2009-09-23,223.000000,223.449997,215.012497,216.262497,174.303055,462344
2009-09-24,213.000000,218.975006,211.062500,215.162506,173.416473,582280
2009-09-25,215.000000,221.000000,211.774994,212.362503,171.159744,785832
2009-09-29,216.000000,216.000000,211.750000,212.925003,171.613098,354092
2009-09-30,214.750000,222.024994,212.024994,220.300003,177.557190,593856
2009-10-01,220.750000,224.425003,216.762497,222.812500,179.582230,1198564
2009-10-05,218.750000,230.000000,218.750000,224.112503,180.629990,1229668
2009-10-06,225.500000,228.975006,221.000000,227.300003,183.199051,757632
2009-10-07,228.050003,231.500000,222.000000,223.212494,179.904617,1367036
2009-10-08,225.250000,229.175003,222.000000,228.000000,183.763214,642716
2009-10-09,228.750000,229.699997,220.787506,222.550003,179.370651,428432
2009-10-12,227.512497,230.000000,222.000000,228.837494,184.438232,410864
2009-10-13,null,null,null,null,null,null
2009-10-14,229.375000,245.250000,229.375000,242.850006,195.732025,1609288
2009-10-15,245.000000,245.000000,238.000000,240.524994,193.858109,522028
2009-10-16,240.250000,240.250000,233.000000,235.050003,189.445389,418240
2009-10-20,216.250000,235.250000,216.250000,226.987503,182.947174,683328
2009-10-21,226.250000,229.500000,222.000000,222.687500,179.481476,960204
2009-10-22,221.250000,227.500000,220.062500,225.074997,181.405746,619828
2009-10-23,229.750000,233.774994,227.000000,231.387497,186.493484,718920
2009-10-26,232.475006,235.487503,228.375000,229.987503,185.365128,456936
2009-10-27,228.600006,235.437500,219.500000,224.662506,181.073273,930952
2009-10-28,224.500000,231.500000,220.512497,223.162506,179.864319,843360
2009-10-29,218.725006,235.587494,216.300003,231.937500,186.936768,3197380
2009-10-30,236.125000,242.475006,225.500000,230.487503,185.768112,1950988
2009-11-03,232.500000,237.750000,219.500000,223.550003,180.176636,1171572
2009-11-04,226.250000,233.712494,220.250000,231.949997,186.946854,1060116
2009-11-05,231.000000,241.250000,226.337494,240.212494,193.606247,1158796
2009-11-06,241.000000,247.000000,240.524994,242.675003,195.590988,1550676
2009-11-09,244.250000,252.949997,239.125000,250.875000,202.200027,1247976
2009-11-10,252.500000,261.075012,247.750000,250.725006,202.079117,2181304
2009-11-11,251.250000,260.000000,249.975006,258.049988,207.982880,855660
2009-11-12,256.149994,263.250000,254.250000,259.100006,208.829178,687112
2009-11-13,260.000000,262.424988,254.462494,257.299988,207.378403,517320
2009-11-16,260.250000,265.000000,259.399994,261.899994,211.085907,503988
2009-11-17,261.250000,264.237488,254.000000,258.274994,208.164261,415272
2009-11-18,259.750000,263.500000,254.324997,256.937500,207.086273,479116
2009-11-19,257.450012,257.450012,251.250000,253.662506,204.446671,456696
2009-11-20,253.750000,261.750000,247.887497,259.937500,209.504181,448244
2009-11-23,260.562500,263.500000,258.762512,260.549988,209.997833,211744
2009-11-24,264.500000,270.187500,260.000000,266.862488,215.085587,643416
2009-11-25,268.750000,273.000000,264.000000,264.924988,213.524002,485536
2009-11-26,263.750000,266.250000,254.750000,256.712494,206.904907,410920
2009-11-27,253.000000,260.500000,247.675003,254.574997,205.182129,488880
2009-11-30,259.500000,263.250000,254.262497,257.062500,207.187012,975504
2009-12-01,259.000000,272.500000,258.750000,269.500000,217.211365,1011252
2009-12-02,273.750000,274.674988,263.750000,266.575012,214.853897,727484
2009-12-03,268.737488,272.000000,265.250000,267.024994,215.216583,683252
2009-12-04,266.200012,267.000000,260.000000,261.225006,210.541901,341368
2009-12-07,260.000000,264.225006,254.000000,256.774994,206.955261,314184
2009-12-08,258.700012,259.975006,252.824997,258.387512,208.254944,511796
2009-12-09,256.000000,261.049988,255.000000,257.575012,207.600067,338764
2009-12-10,259.424988,261.250000,255.350006,260.062500,209.604950,617308
2009-12-11,262.450012,263.750000,255.625000,257.462494,207.509384,338400
2009-12-14,257.500000,264.750000,257.125000,259.299988,208.990372,721000
2009-12-15,262.062500,267.137512,252.274994,254.350006,205.000778,606656
2009-12-16,256.262512,263.500000,253.000000,261.612488,210.854202,608740
2009-12-17,262.500000,265.237488,260.024994,264.125000,212.879242,897892
2009-12-18,263.250000,268.225006,261.250000,263.549988,212.415771,851232
2009-12-21,265.024994,265.274994,254.500000,255.125000,205.625412,399384
2009-12-22,257.774994,259.450012,251.250000,252.462494,203.479492,544308
2009-12-23,253.000000,261.500000,253.000000,260.137512,209.665421,635444
2009-12-24,260.000000,266.375000,260.000000,265.462494,213.957230,497304
2009-12-29,267.500000,268.500000,262.649994,264.700012,213.342667,441888
2009-12-30,265.750000,267.750000,263.524994,265.600006,214.068054,272596
2009-12-31,267.500000,271.750000,266.250000,270.200012,217.775558,620804
2010-01-04,273.750000,284.500000,272.000000,282.399994,227.608490,1126076
2010-01-05,285.000000,293.975006,283.762512,287.662506,231.849976,1057580
2010-01-06,290.250000,296.000000,288.750000,294.537506,237.391083,1233432
2010-01-07,293.750000,294.500000,285.274994,288.237488,232.313400,471720
2010-01-08,288.250000,291.500000,286.524994,287.924988,232.061539,439816
2010-01-11,291.750000,293.700012,288.000000,289.662506,233.461899,362916
2010-01-12,281.274994,299.174988,281.274994,297.312500,239.627655,705580
2010-01-13,293.750000,297.450012,283.887512,288.674988,232.666031,1023796
2010-01-14,293.500000,295.200012,290.500000,292.700012,235.910065,682168
2010-01-15,289.625000,296.037506,287.875000,288.812500,232.776825,271264
2010-01-18,288.500000,296.250000,288.000000,294.512512,237.370911,503356
2010-01-19,296.000000,296.000000,287.774994,290.024994,233.754074,293504
2010-01-20,291.250000,293.750000,285.500000,286.462494,230.882813,317904
2010-01-21,285.062500,292.500000,284.125000,286.450012,230.872726,389008
2010-01-22,283.500000,285.549988,274.212494,282.899994,228.011505,491584
2010-01-25,283.975006,288.500000,264.262512,268.087494,216.072891,1720420
2010-01-27,265.000000,268.100006,248.750000,252.975006,203.892563,2376332
2010-01-28,257.000000,261.500000,254.000000,255.725006,206.109024,514852
2010-01-29,252.062500,258.174988,246.250000,254.850006,205.403778,558124
2010-02-01,256.250000,263.750000,252.500000,261.725006,210.944885,523008
2010-02-02,263.750000,266.450012,253.762497,254.899994,205.444061,503488
2010-02-03,257.500000,263.612488,256.250000,262.750000,211.770996,376612
2010-02-04,262.500000,263.737488,251.500000,254.087494,204.789215,541284
2010-02-05,250.000000,251.250000,241.337494,244.112503,196.749573,812800
2010-02-06,null,null,null,null,null,null
2010-02-08,249.750000,253.449997,241.750000,250.375000,201.797012,965368
2010-02-09,250.199997,253.687500,246.587494,247.687500,199.630951,387568
2010-02-10,251.500000,251.500000,237.562500,239.225006,192.810349,783108
2010-02-11,242.500000,248.975006,241.250000,246.812500,198.925735,573280
2010-02-15,249.750000,252.199997,247.500000,248.112503,199.973495,289872
2010-02-16,249.850006,256.000000,248.250000,253.062500,203.963074,233672
2010-02-17,256.750000,260.000000,255.375000,256.600006,206.814240,312376
2010-02-18,257.500000,257.500000,250.562500,253.062500,203.963074,210968
2010-02-19,250.500000,254.125000,248.250000,249.725006,201.273148,305148
2010-02-22,253.750000,255.000000,246.750000,248.225006,200.064163,303232
2010-02-23,246.500000,248.425003,243.274994,245.112503,197.555557,546976
2010-02-24,243.500000,244.899994,237.912506,239.162506,192.759979,648060
2010-02-25,242.500000,243.250000,238.887497,239.712494,193.203278,390520
2010-02-26,237.774994,257.875000,237.774994,251.837494,202.975769,1741704
2010-03-02,253.887497,265.450012,252.550003,263.537506,212.405716,814796
2010-03-03,265.000000,270.250000,261.875000,269.087494,216.878876,869496
2010-03-04,269.375000,270.000000,264.250000,268.962494,216.778152,369820
2010-03-05,269.500000,272.462494,267.012512,268.962494,216.778152,280764
2010-03-08,270.000000,282.500000,270.000000,280.600006,226.157745,931200
2010-03-09,281.750000,285.250000,277.312500,280.850006,226.359222,684124
2010-03-10,281.250000,284.674988,259.500000,282.475006,227.668945,1985580
2010-03-11,282.250000,282.937500,279.250000,281.012512,226.490189,354912
2010-03-12,282.500000,288.500000,282.250000,284.212494,229.069336,398784
2010-03-15,285.000000,285.000000,275.375000,276.337494,222.722244,411104
2010-03-16,276.250000,285.000000,275.625000,283.674988,228.636093,506132
2010-03-17,285.037506,285.299988,280.712494,281.112488,226.570786,360752
2010-03-18,284.712494,284.712494,268.750000,271.787506,219.055069,1174956
2010-03-19,271.250000,272.750000,267.000000,268.325012,216.264374,408472
2010-03-22,266.250000,266.250000,260.500000,262.200012,211.327744,747228
2010-03-23,264.250000,264.912506,258.000000,262.149994,211.287415,556224
2010-03-25,261.262512,265.674988,259.287506,263.637512,212.486313,617836
2010-03-26,267.187500,271.000000,265.500000,269.424988,217.150894,510980
2010-03-29,272.549988,282.000000,270.549988,276.674988,222.994263,502886
2010-03-30,279.424988,284.950012,272.500000,274.774994,221.462891,382712
2010-03-31,279.299988,279.750000,267.725006,272.600006,219.709915,358092
